domain,problem_instance,variant,result,cost,num_nodes,n_rollouts,horizon,budget,exploration_const,normalize_exploration_const,n_init,risk_factor,goal_utility,seed
depot,3,factored,PlanningResult.FAILURE_BUDGET,100,218342,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,4,factored,PlanningResult.SUCCESS,81,166373,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,8,factored,PlanningResult.SUCCESS,54,104442,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,8,factored,PlanningResult.SUCCESS,59,110217,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,8,factored,PlanningResult.SUCCESS,61,111666,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,8,factored,PlanningResult.SUCCESS,58,107755,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,8,factored,PlanningResult.SUCCESS,65,121184,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,8,factored,PlanningResult.SUCCESS,65,132566,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,8,factored,PlanningResult.SUCCESS,68,118037,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,1,unfactored,PlanningResult.SUCCESS,5,2336,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,1,factored,PlanningResult.SUCCESS,7,620,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,3,factored,PlanningResult.SUCCESS,8,2040,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,7,factored,PlanningResult.SUCCESS,10,2350,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,3,unfactored,PlanningResult.SUCCESS,12,20527,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,2,factored,PlanningResult.SUCCESS,8,8163,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,2,unfactored,ERROR,-1,-1,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,5,factored,PlanningResult.SUCCESS,10,18428,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,4,factored,PlanningResult.SUCCESS,27,7273,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,1,factored,PlanningResult.SUCCESS,12,47748,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,10,factored,PlanningResult.SUCCESS,15,25748,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,1,unfactored,PlanningResult.SUCCESS,12,60642,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,2,factored,PlanningResult.SUCCESS,19,53869,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,7,unfactored,PlanningResult.FAILURE_BUDGET,100,45975,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,3,factored,PlanningResult.SUCCESS,29,64905,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,8,factored,PlanningResult.SUCCESS,51,14068,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,5,unfactored,PlanningResult.SUCCESS,17,183128,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,4,unfactored,PlanningResult.FAILURE_BUDGET,100,112819,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,2,unfactored,PlanningResult.FAILURE_BUDGET,100,80894,1000,20,100,1.4142135623730951,True,5,-0.1,1,
childsnack,3,unfactored,PlanningResult.FAILURE_BUDGET,100,104417,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,8,unfactored,PlanningResult.FAILURE_BUDGET,100,184592,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,13,factored,PlanningResult.SUCCESS,28,132904,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,9,factored,PlanningResult.FAILURE_BUDGET,100,26408,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,2,unfactored,PlanningResult.SUCCESS,8,59043,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,6,factored,PlanningResult.FAILURE_BUDGET,100,69508,1000,20,100,1.4142135623730951,True,5,-0.1,1,
satellite,11,factored,PlanningResult.SUCCESS,98,99658,1000,20,100,1.4142135623730951,True,5,-0.1,1,
depot,4,factored,PlanningResult.SUCCESS,85,170227,1000,20,100,1.4142135623730951,True,5,-0.1,1,
