domain,problem_instance,variant,result,cost,num_nodes,n_rollouts,horizon,budget,exploration_const,normalize_exploration_const,n_init,risk_factor,goal_utility,seed
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,76999,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,72608,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,80154,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,77636,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,77147,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,70633,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,79604,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,77733,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,81867,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.FAILURE_BUDGET,100,80624,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,167000,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,194910,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.SUCCESS,25,24617,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,6,unfactored,PlanningResult.SUCCESS,22,25361,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,237801,1000,20,100,1.4142135623730951,True,5,-0.1,1,
transport,12,unfactored,PlanningResult.FAILURE_BUDGET,100,209791,1000,20,100,1.4142135623730951,True,5,-0.1,1,
